0,月销量,价格,名称,重要度,评论数
31,288,2512,夏普 AQUOS S2,"大屏5.5""",0
32,3770,198,纽曼 F518,"小屏2.4""",0
33,2555,321,酷派 5267,"中屏5.0""",0
34,46469,153,诺基亚 105,"小屏1.4""",11926
35,2117,999,中兴 AXON天机 MAX,"大屏6.0""",93
36,3378,652,荣耀 畅玩5X,"大屏5.5""",67430
37,1037,806,魅族 魅蓝U20,"大屏5.5""",0
38,3753,563,华为 P8(青春版),"中屏5.0""",23740
39,289,2474,摩托罗拉 Z2 PLAY,"大屏5.5""",0
40,1565,1327,黑莓 PRIV,"中屏5.4""",1430
41,465,1874,vivo X7 Plus,"大屏5.7""",0
42,334,2567,金立 M6,"大屏5.5""",17
43,7282,257,小米 红米2A(增强版),"中屏4.7""",15516
44,444,1826,ZUK Edge,"大屏5.5""",0
45,1151,657,小米 红米3S,"中屏5.0""",13549
46,531,1493,酷派 Cool S1,"大屏5.5""",0
47,306,2998,征服 S8,"中屏5.0""",309
